name,diet
balance cafe,vegetarian
balance cafe,vegan
balance cafe,halal
balance cafe,gluten free
brunch,vegetarian
brunch,vegan
brunch,halal
brunch,gluten free
hearth,vegetarian
hearth,vegan
hearth,halal
mingle and nosh,gluten free
mingle and nosh,vegetarian
mingle and nosh,vegan
noodles,gluten free
noodles,vegetarian
noodles,vegan
streats,vegetarian
streats,vegan
scout coffee,vegan
scout coffee,vegetarian
mustang station,vegan
mustang station,vegetarian
red radish,gluten free
red radish,vegetarian
red radish,vegan
health shack,gluten free
health shack,vegetarian
health shack,vegan
julians,vegetarian
julians,vegan
mustang eats,vegan
einstein,vegan
einstein,vegetarian
