name,food_type
balance cafe,breakfast
balance cafe,lunch
balance cafe,dinner
brunch,breakfast
brunch,lunch
brunch,dinner
hearth,lunch
hearth,dinner
jamba,drink
mingle and nosh,lunch
mingle and nosh,dinner
noodles,lunch
noodles,dinner
streats,lunch
streats,dinner
sweet bar,dessert
vista grande express,breakfast
vista grande express,lunch
vista grande express,dinner
scout coffee,drink
mustang station,lunch
mustang station,dinner
red radish,lunch
red radish,dinner
shake smart,drink
starbucks,drink
health shack,lunch
julians,drink
mustang eats,lunch
subway,lunch
subway,dinner
chick fil a,lunch
chick fil a,dinner
einstein,breakfast
einstein,lunch
einstein,dinner
